epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,73495.2,1.26575,1.29292,0.00659,0.53944,0.56672,0.53909,0.37595,1.49557,1.65127,0.00492,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
76,74455.8,1.26061,1.29131,0.00663,0.55437,0.56204,0.54312,0.37756,1.49539,1.65162,0.00493,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
77,75420.2,1.25746,1.28392,0.00655,0.5662,0.55299,0.54376,0.37937,1.49528,1.65363,0.00493,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
78,76384.8,1.244,1.28697,0.00644,0.53052,0.55682,0.54345,0.37753,1.49346,1.65481,0.0049,0.00875691,0.00291897,0.00875691,0.00291897,0.00875691,0.00291897,0.00875691,0.00291897
79,77344.9,1.2405,1.25455,0.00646,0.56495,0.54879,0.54236,0.37825,1.49203,1.65631,0.00489,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
80,78313.4,1.24238,1.26512,0.00633,0.58811,0.54905,0.54673,0.37731,1.49126,1.65679,0.00488,0.00806419,0.00268806,0.00806419,0.00268806,0.00806419,0.00268806,0.00806419,0.00268806
81,79279.4,1.24625,1.25844,0.00635,0.58594,0.54877,0.54692,0.37796,1.4901,1.65828,0.00487,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
82,80243.1,1.2342,1.23768,0.00626,0.58211,0.55446,0.54656,0.37903,1.48882,1.65962,0.00486,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
83,81206.8,1.22475,1.23391,0.00617,0.58139,0.55394,0.54434,0.37883,1.48652,1.66161,0.00485,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
84,82174.4,1.22511,1.21976,0.00621,0.57939,0.55179,0.54122,0.37792,1.48641,1.6612,0.00484,0.00673887,0.00224629,0.00673887,0.00224629,0.00673887,0.00224629,0.00673887,0.00224629
85,83140.8,1.21927,1.21429,0.00609,0.58146,0.55091,0.54144,0.37829,1.48501,1.66421,0.00483,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
86,84106,1.21138,1.21161,0.00603,0.58378,0.54849,0.54392,0.37978,1.48389,1.66553,0.00484,0.00610989,0.00203663,0.00610989,0.00203663,0.00610989,0.00203663,0.00610989,0.00203663
87,85073.5,1.20245,1.20128,0.00606,0.58701,0.5483,0.54318,0.37981,1.48363,1.6646,0.00482,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
88,86037.8,1.20694,1.19489,0.00598,0.58178,0.53879,0.53808,0.3789,1.48218,1.66594,0.00479,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
89,86997.1,1.19941,1.18785,0.00599,0.56044,0.5473,0.53574,0.37627,1.48109,1.6668,0.00477,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
90,87960.9,1.20292,1.17655,0.00587,0.56486,0.55156,0.53738,0.37867,1.47976,1.66624,0.00474,0.00492793,0.00164264,0.00492793,0.00164264,0.00492793,0.00164264,0.00492793,0.00164264
91,88928.7,1.18552,1.16839,0.00584,0.58126,0.55401,0.53762,0.37915,1.47909,1.66873,0.00472,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
92,89892.9,1.19243,1.16611,0.00577,0.58244,0.55035,0.54228,0.3801,1.4776,1.66988,0.00471,0.00437819,0.0014594,0.00437819,0.0014594,0.00437819,0.0014594,0.00437819,0.0014594
93,90858.2,1.17922,1.1613,0.00569,0.57553,0.55085,0.54064,0.37969,1.47888,1.6706,0.0047,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
94,91824.7,1.17681,1.14367,0.00571,0.58047,0.54899,0.54057,0.37978,1.47765,1.67179,0.00468,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
95,92787,1.17239,1.14787,0.00561,0.5792,0.54763,0.53699,0.37768,1.47739,1.6739,0.00466,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313
96,93745.7,1.16698,1.13706,0.00563,0.58318,0.54702,0.53492,0.37561,1.4775,1.67399,0.00466,0.0033687,0.0011229,0.0033687,0.0011229,0.0033687,0.0011229,0.0033687,0.0011229
97,94710.5,1.16114,1.11953,0.00557,0.58546,0.54682,0.53426,0.374,1.47642,1.67639,0.00464,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
98,95674.6,1.1587,1.12398,0.00556,0.58817,0.54486,0.53194,0.37469,1.47631,1.67649,0.00464,0.00291173,0.000970575,0.00291173,0.000970575,0.00291173,0.000970575,0.00291173,0.000970575
99,96643.7,1.15271,1.11318,0.00553,0.59262,0.54575,0.53138,0.37507,1.47715,1.67622,0.00464,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581
100,97609.2,1.1493,1.10811,0.00544,0.5859,0.53446,0.53054,0.3746,1.47555,1.67741,0.00464,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
101,98575.5,1.14996,1.11362,0.00539,0.58667,0.53261,0.53098,0.375,1.47539,1.677,0.00463,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
102,99537.3,1.1477,1.10193,0.00538,0.58446,0.54154,0.53106,0.37547,1.4745,1.67903,0.00461,0.00209957,0.000699855,0.00209957,0.000699855,0.00209957,0.000699855,0.00209957,0.000699855
103,100501,1.14366,1.09657,0.00533,0.57362,0.53683,0.52811,0.37379,1.47487,1.67962,0.00461,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
104,101468,1.13639,1.09052,0.00529,0.55562,0.54306,0.52794,0.37395,1.47381,1.68032,0.00459,0.00174661,0.000582203,0.00174661,0.000582203,0.00174661,0.000582203,0.00174661,0.000582203
105,102463,1.13485,1.09017,0.00524,0.55414,0.55144,0.52739,0.37338,1.47364,1.68147,0.00458,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
106,103423,1.13485,0.97261,0.00489,0.558,0.54408,0.52265,0.37046,1.47317,1.68423,0.00457,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
107,104377,1.12068,0.95236,0.00466,0.56518,0.54699,0.52528,0.37236,1.47336,1.6862,0.00456,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777
108,105407,1.11793,0.9505,0.00453,0.55893,0.54856,0.52314,0.3716,1.47398,1.68814,0.00456,0.00115177,0.000383925,0.00115177,0.000383925,0.00115177,0.000383925,0.00115177,0.000383925
109,106369,1.11298,0.9439,0.00451,0.55137,0.54377,0.52243,0.37094,1.47475,1.69059,0.00456,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
110,107334,1.10417,0.93865,0.0044,0.55651,0.54143,0.52192,0.3708,1.47594,1.69143,0.00457,0.000911527,0.000303842,0.000911527,0.000303842,0.000911527,0.000303842,0.000911527,0.000303842
111,108350,1.10103,0.93022,0.00437,0.55315,0.53968,0.52145,0.37016,1.47656,1.69394,0.00456,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667
112,109335,1.09406,0.92393,0.00431,0.54934,0.53954,0.52133,0.37103,1.47778,1.69662,0.00457,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
113,110326,1.09144,0.92051,0.0043,0.56701,0.53693,0.51964,0.36979,1.47887,1.7,0.00457,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
114,111284,1.09204,0.91906,0.00429,0.54378,0.55233,0.52633,0.37022,1.48099,1.70272,0.00459,0.000548665,0.000182888,0.000548665,0.000182888,0.000548665,0.000182888,0.000548665,0.000182888
115,112240,1.09401,0.91374,0.00422,0.55589,0.54608,0.52581,0.37097,1.4821,1.7053,0.00459,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
116,113210,1.08933,0.91604,0.00421,0.54705,0.54956,0.52344,0.37015,1.48326,1.70793,0.0046,0.000427044,0.000142348,0.000427044,0.000142348,0.000427044,0.000142348,0.000427044,0.000142348
117,114176,1.08529,0.90967,0.00418,0.57271,0.53561,0.52526,0.37103,1.48508,1.71074,0.00461,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
118,115127,1.08888,0.91057,0.00418,0.57334,0.53267,0.523,0.36984,1.48603,1.71285,0.00461,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
119,116084,1.0832,0.90506,0.00415,0.54532,0.54429,0.51867,0.36791,1.48691,1.71703,0.00461,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784
120,117045,1.0827,0.90457,0.00417,0.54602,0.54182,0.51769,0.36793,1.488,1.71947,0.00461,0.000305089,0.000101696,0.000305089,0.000101696,0.000305089,0.000101696,0.000305089,0.000101696
